Latitude,Longitude,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
51.49224823,-0.147114753,WMD,PM2.5,4/3/2025 0:00,22,ug/m3,R
51.49224823,-0.147114753,WMD,PM2.5,5/3/2025 0:00,33,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/3/2025 0:00,18,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/3/2025 0:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/3/2025 0:00,18,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/3/2025 0:00,33,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/3/2025 0:00,57,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/3/2025 0:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/3/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/03/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/03/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/03/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/03/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/03/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,18/03/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/03/2025 00:00,17,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/03/2025 00:00,15,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/03/2025 00:00,20,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/03/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/03/2025 00:00,26,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,24/03/2025 00:00,29,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,25/03/2025 00:00,23,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/03/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/03/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/03/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/03/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/03/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,31/03/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/4/2025 0:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/4/2025 0:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/4/2025 0:00,17,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/4/2025 0:00,20,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/4/2025 0:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/4/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/4/2025 0:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/4/2025 0:00,12,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/4/2025 0:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/4/2025 0:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/4/2025 0:00,14,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/4/2025 0:00,21,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/04/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/04/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/04/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/04/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/04/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,18/04/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/04/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/04/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/04/2025 00:00,12,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/04/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/04/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,24/04/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,25/04/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/04/2025 00:00,16,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/04/2025 00:00,18,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/04/2025 00:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/04/2025 00:00,14,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/04/2025 00:00,17,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/5/2025 0:00,23,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/5/2025 0:00,13,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/5/2025 0:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/5/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/5/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/5/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/5/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/5/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/5/2025 0:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/5/2025 0:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/5/2025 0:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/5/2025 0:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/05/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/05/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/05/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/05/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/05/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,18/05/2025 00:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/05/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/05/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/05/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/05/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/05/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,24/05/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,25/05/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/05/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/05/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/05/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/05/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/05/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,31/05/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/6/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/6/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/6/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/6/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/6/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/6/2025 0:00,2,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/6/2025 0:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/6/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/6/2025 0:00,17,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/6/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/6/2025 0:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/6/2025 0:00,12,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/06/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/06/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/06/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/06/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/06/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,18/06/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/06/2025 00:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/06/2025 00:00,14,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/06/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/06/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/06/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,24/06/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,25/06/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/06/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/06/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/06/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/06/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/06/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/7/2025 0:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/7/2025 0:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/7/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/7/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/7/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/7/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/7/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/7/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/7/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/7/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/7/2025 0:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/7/2025 0:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/07/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/07/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/07/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/07/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/07/2025 00:00,4,ug/m3,P
